TWEET,LABEL
b'Lanjut yuk ke genre musik aneh berikutnya adalah drone. Jenis musik ini benar-benar cocok untuk kamu dengarkan menj\xe2\x80\xa6 https://t.co/v9ZE2nwMGS',
"b'Bagi para musisi muda Indonesia, anda bisa tampil secara tunggal (solo) maupun grup, membawakan genre musik lintas\xe2\x80\xa6 https://t.co/c0oQex4Jx4'",
"b'Genre musik yang aneh selanjutnya ada Chap Hop secara singkat adalah percampuran hip hop dan musik british, biasa j\xe2\x80\xa6 https://t.co/UEjYLLTx3h'",
b'@selepassubuh_ Pcrn sm org yg satu genre sm musik lu lebi seru btw hehe',1
"b'Ah elah ngomongin genre musik, sok sok an deh gue....'",
"b'Mendengarkan musik di luar genre yang biasa kita dengarkan, seru juga.'",1
b'3.  Menjadi Aktor Film Buzzer yang Bertobat\n\nSutradara: Ernest Prakasa\nPenata musik: Addie MS\nPengisi OST: Slank\nAk\xe2\x80\xa6 https://t.co/Rnlx3ki8hn',
"b'Genre musik aneh yang pertama ada Danger music yang tidak membutuhkan instrumen seperti gitar, drum atau bass, mela\xe2\x80\xa6 https://t.co/y5YIy8Pqfe'",
b'Breaker @obieza bakalan ngebahas tentang genre musik aneh yang ada di dunia! kira - kira ada genre apa aja ya Blist\xe2\x80\xa6 https://t.co/odv1ouM6Wv',
"b'Blisteners, saatnya Breaker @obieza nemenin lo sampe jam 5 yang bakal tentang genre musik, tapi genre musik yang ka\xe2\x80\xa6 https://t.co/qlOjmh0OsS'",
"b'@iLOTTE_id Ryu Sujeong, tapi sekarang lagi galau ke Jin wkwk, maafkan aku bangdeok \xf0\x9f\x98\x85 \n\nAku suka Lovelyz, karena gen\xe2\x80\xa6 https://t.co/zv0vqbnpA6'",
"b'Punya genre musik yang berbeda. Ini dia penampilan Maretha, Dnanda, dan Agnes #TheVoiceGTV #TheVoiceIndonesia\xe2\x80\xa6 https://t.co/SyuYNpccfE'",
"b'Senin Lisa dan Awkarin ganti genre musik #recehbanget \n#SoalEnak\nYang mau kaosnya, bisa baca lewat link berikut\xe2\x80\xa6 https://t.co/6H8g1H0LdW'",
b'Kalian lebih suka mendengarkan genre musik apa?',
"b'Satu pertanyaan untuk kalian; masih suka nyanyiin lagu ""Dari Sabang sampai Merauke""?\n\nJangan2 kamu terpapar genre musik lain?\n#hidupjernih'",
b'Rizky Febian mengaku menyukai genre musik Korea yang dibawakan idola-idolanya karena dapat menginspirasi.  https://t.co/jOMcFPZG5T',1
"b'@Tia2522 tau, hubungan nya sama kpop apa kan kpop itu genre musik nah selera musik org pasti beda\xc2\xb2 kan'",1
b'@othsidury sama... keselnya tuh begitu padahal kalo ngomongin genre musik yg lain mungkin bisa lebih nyambung.... i\xe2\x80\xa6 https://t.co/IBu0Je8hrp',1
"b'Sebenernya kayaknya cocok sama genre musik jepang tuh (jpop, jrock) tapi kenapa gapernah nyantol sama vokalnya sih \xf0\x9f\x98\xa2'",0
"b'Saya pribadi termasuk orang yg ga pilih pilih genre musik ""kecuali"" kalau lirik lirik dr lagu itu bikin sakit hati\xe2\x80\xa6 https://t.co/jPOgXmLfr2'",
b'@ljkniao Kono oto tomare. Tentang anak2 SMA di klub alat musik koto. Dia disitu ketua klubnya anaknya baek. Ini gen\xe2\x80\xa6 https://t.co/woRCBFSEXX',1
"b'Pingin banget bisa enjoy setiap genre musik secara langsung, tapi pada saat itu memang belum beruntung jadi ga bisa\xe2\x80\xa6 https://t.co/SM6JsbHOIJ'",1
"b'Pingin banget dapet tiketnya karena suka banget gitu sama musik dan actually semua genre aku suka &lt;3, jadi pingin b\xe2\x80\xa6 https://t.co/UX1lc9UEN5'",1
b'@geuIies Kalo musik suka genre apa?',
"b'Sekarang ku tau kek mana selera musik yang cocok, semua genre tapi kudu wajib epic bass linenya'",1
"b'/txt/ melihat dari teaser pertama, menurut kalian lagu Runaway bakal mengusung genre musik apa? Vibenya bakal giman\xe2\x80\xa6 https://t.co/p4EXEK4ZVq'",
b'[Fakta Ayen] Genre musik Ayen sukai Pop dan Rock (sama kayak gua)',
b'yess bts paved the way...\n\nway buat siapa? buat siapapun yg lagu/musiknya se genre / yg asalnya sama (kpop)\n\nway di\xe2\x80\xa6 https://t.co/sUxhc96kCV',
b'Brazilian Portuguese ini kl didenger di Bossa Nova santuy bgt kl diliat di City of God (2002) fun bgt kl dibaca di\xe2\x80\xa6 https://t.co/yJxXNZUDvr',
"b'@NikeArdilla_ID Dari Dunia musik, Nike Ardilla memperkenalkan genre baru, slow/pop/rock. Ke dunia musik Indonesia.\xe2\x80\xa6 https://t.co/W8YwHiIVBW'",
b'Kyai Kanjeng nyerawungi segala macam (genre) musik sebagai symbol/unsur tidak berkiblat pada salah satu (dominan) g\xe2\x80\xa6 https://t.co/eUJmkKhHri',
"b'BLUES, nama yg diberikan utk musik dan genre yg diciptakan dlm masyarakat Afrika-Amerika di Deep South akhir abad ke-19'",
b'Ini tuh... Mmg enak dgrnya lg chill sm pasangan gt cihuy uhuy. Tp takut cowonya tb2 suka dngdut\xf0\x9f\x99\x83\nAku play ini tb2 b\xe2\x80\xa6 https://t.co/1sVyp1UpO4',0
"b'me at noon: naruh kepala di meja tidur, nyender kursi tidur\n\nme at night: nyari posisi enak, gulang guling, bolak b\xe2\x80\xa6 https://t.co/L3eDQO6NJp'",
b'Genre musik kamu apa?\n\nI - VI - II - V - I \n\nHehe',
"b'Kenapa BTS banyak di bully?\n\nKarena \n- Wajah,bukan ganteng standar korea\n- Musik, Dance, Genre dianggap bukan Kpop\xe2\x80\xa6 https://t.co/ZvEdsh2BtD'",0
"b""terlepas dari \xe2\x80\x94sok indie 'n basic\xe2\x80\x94 playlist. menurut gue playlist kasih nilai plus bgt sih wkwk. minimal suka sama\xe2\x80\xa6 https://t.co/tRKBlTRyj6""",1
"b'Ini genre lagunya kesukaan warga korea banget, bener2 cocok banget sama autumn. Semoga bisa tinggi di chart musik n\xe2\x80\xa6 https://t.co/GgcjmGgZnq'",
"b'[Yang Disyukuri Minggu Ini]\n- Bisa mengendalikan emosi, hati dan pikiran\xf0\x9f\x98\x8a\n- Menemukan genre musik baru\n- Masih dpt\xe2\x80\xa6 https://t.co/d4Ytcwe5HK'",1
b'Gapaham temen aing genre musik kalau mau dugem kayak gini:) https://t.co/U5bi00f3RA',0
b'@IlhaamChy Gua malah udah gak ngerti sama genre musik kecuali metal atau core',
"b'@ReginaVetryx Ok saya pun ga mau, lagian dibedakan kasta berdasrkan genre musik\nApalah saya demenmya rammstein'",
"b'@m0chimoon Riskan sih ga kak, ada juga grup Ballad cuma nama mereka tuh udh terkenal sama genre musik yg latin grou\xe2\x80\xa6 https://t.co/ReYkVZz8Gm'",
b'@takebyul Genre musik mereka tuh beda dari yang lainnn ~',1
b'@hellopentol Belakangnya genre musik apatuy',
b'Tolak ukur menjadi pacar saya:\n\nNyambung saya ajak ngomong musik apa aja meskipun saya ga seluas itu juga ilmunya k\xe2\x80\xa6 https://t.co/En2PcDA4rK',
b'@jagsonwang hidie itu genre musik ka',
"b'Td kenalan sama pacarnya temenku, ternyata genre musik ku sm dia sama ,trs dia bilang \xe2\x80\x9ckamu anak thn 2000an kok old soul keren loh\xe2\x80\x9d WKWKWKW'",1
"b'@vtamin_tae @jooniescaptain Ngakak \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 klo bilang army bukan kpop, mereka bilang ""bukannya bts dari Korea?"" KPop bu\xe2\x80\xa6 https://t.co/bkfmuwfSw0'",
"b'ketika dulu kita bisa nikmatin musik bareng karena genre yang kita suka sama, \n\nketika kita dulu bisa nikmatin minu\xe2\x80\xa6 https://t.co/Jky8DUuLz2'",
"b'\xf0\x9f\xa7\x91: ""Cah musik to, Mas""\n\xf0\x9f\x91\xa6: ""Nggih, Mas. Leres""\n\xf0\x9f\xa7\x91: ""Genre musik e panjenengane mendhet nopo, Mas?""\n\xf0\x9f\x91\xa6: ""Indie, Mas""\n\xf0\x9f\xa7\x91: *klakep, plengeh~'",
"b'@Qurrotuayun28 @yunnareinkana Wiii genre musik apa tuuh hahaha apa yg merasukimuu (?),\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",
"b'4. penggemar kpop, tapi soal genre musik lebih suka soft rock dan pop'",
b'@AREAJULID ya gapapa kali lagian kan emg enak punya pacar satu genre musik huuu',1
"b'Tolak ukur untuk menjadi pacar saya , playlist lo harus :\n- bebas sih terserah suka genre musik apa aja gue gak ter\xe2\x80\xa6 https://t.co/SRszrLIkEv'",
"b'Eh full metal jacket itu judul film ya, bukan genre musik. https://t.co/oLxGMC8veK'",
"b'MUR libatkan 68 Group Band dan Artis Ternama serta Legendaris dari berbagai Genre Musik, mulai Dangdut, Rock, Metal\xe2\x80\xa6 https://t.co/FKxCKqwPeo'",
"b'@thestorykids Nama : ai \nPacar : bang chan\nHobi : ngambis, dngrin lagu\nAlasan knp pacarnya : gak sengaja deket gara\xe2\x80\xa6 https://t.co/zgAUdtF9vs'",
"b'@koreanthingy Masih bisa beralasan ""Kpop kan genre musik. Kenapa harus malu?"" :)'",1
b'@koreanthingy kenapa harus malu?\nkpop itu kan genre musik \xf0\x9f\x98\xb6',
"b'Berkumpul bersama jajaran para pendekar angkatan babeh gue \xf0\x9f\x98\x86\n\nKarena Musik memberi jiwa pada alam semesta, memberi\xe2\x80\xa6 https://t.co/XOw1JCkFzE'",1
b'SIAPA DISINI YG SUKA MUSIK 90 AN BARAT??\n\nGATAU KENAPA GUE CINTA BANGET AMA MUSIK 90 AN NYA. TERUTAMA GENRE NYA SIH\xe2\x80\xa6 https://t.co/wOJA2d7dUu',1
b'@ReginaVetryx aku menerima semua genre musik \xf0\x9f\xa4\x9f',1
"b'Menurutku, apapun jenis musik nya kalau di dengar enak ya bakal terus terusan di putar dan di nyanyiin, ga mandang\xe2\x80\xa6 https://t.co/5B2cMTf8j3'",1
"b'kemajuan industri musik di indonesia menyebabkan banyaknya genre - genre musik yang di minati anak muda,kalian lebi\xe2\x80\xa6 https://t.co/ztTsXKR1Fe'",1
b'Halo temen-temen pengen tau dong genre musik favorit kalian apa nih?',
b'eh gais ak seneng bgt skrg temenku open-minded soal musik. dia udh terbuka ke semua genre dan skrg teknik nyanyi ny\xe2\x80\xa6 https://t.co/dnX3PzZ2Up',1
b'Saya lupa ternyata surf dan dreampop dan shoegaze merupakan genre musik yg sangat saya suka',1
"b'""jajal"" yang berarti mencoba sesuatu\n""metal"", genre musik\nJadi jajal metal adalah seseorang yang ingin bergaya meta\xe2\x80\xa6 https://t.co/iNbHLIuRxV'",
"b'ini juga mungkin cara tim artistik plesdi bikin ide buat keseluruhan ceritanya, yg mereka sampein juga lewat visual\xe2\x80\xa6 https://t.co/EbqjbkYWz6'",1
"b'Dapet kesempatan main di @SynchronizeFest salah satu Festival Musik terbaik di Indonesia, semua genre/aliran musik\xe2\x80\xa6 https://t.co/vIFAInEQ5z'",
"b'ngakak anjer, yo alhamdulillah pindah haluan genre musik'",
"b'@Syivanaekaputri Yang apapun situasi, kondisi, genre, suasanya, ketika ada musik pada joget semua :""'",1
"b'6. Genre musik favorit Baekhyun EXO yaitu Pop, RnB, dan Rock Punk\n7. Golongan darah Baekhyun EXO yaitu O\n8. Shio Ba\xe2\x80\xa6 https://t.co/CBbQ6kU0Oi'",
"b""'' Setiap genre musik punya kharismanya sendiri, selama ia tak berpandu pada grafik popularitas dan matematika bela\xe2\x80\xa6 https://t.co/Ijf7XUcgPK""",1
"b'Superfriends, genre musik apa yang lo dengerin buat ngatasin rasa #MulaiBosan? \n\n#SUPERMUSIC'",
b'Gini genre musik yg ngangenin heuu https://t.co/OIwwoumFIa',
b'@mignonettes_ kayaknya perlu dengerin lagu nuest sebelumnya. kadang definisi genre musik mereka agak beda dgn apa y\xe2\x80\xa6 https://t.co/6HteOiecq7',
b'@lovescakiloves Naaah.. itu dia.. \nAk jd gugling tuh genre musik kaya gimana \xf0\x9f\x98\x85\xf0\x9f\x98\x85',
"b'@kudaki_ Nah iya bener banget,kayanya mereka skrg sadar mereka itu punya talent untuk bikin musik dengen genre apap\xe2\x80\xa6 https://t.co/UvTJ7yGkXT'",1
"b""@Yhan_Petrucci Aku Biyen Tuku Kaset Iki Ndik M Studio Matahari Mburi Samping'e Swalayan, Iki Album Pembuka Genre Sy\xe2\x80\xa6 https://t.co/hqhURdhnMz""",
"b'Musik favorit Baekhyun adalah genre R&amp;B, Pop dan Rock Punk'",
b'[Fakta Ayen] Genre musik Ayen sukai Pop dan Rock (sama kayak gua)',
"b'FYI si @ZakaSandra adalah kawan baik gua yang selalu supportif terhadap semua genre musik, hampir semua musik gua c\xe2\x80\xa6 https://t.co/QlwyDnk6pR'",
b'emang pada dasarnya rata2 musik bossa nova emang gitusih sebenernya... terdengar sederhana tapi kalo lo coba pasang\xe2\x80\xa6 https://t.co/8XbHB8QNsb',
"b'setelah senja dan kopi menyerang, indie adalah genre musik -_-'",
"b'@bobbyinjaeyo nah iya, kalau fandom emang ada. kalau selera musik (genre aku rock) ga ada yang ngerti :( jadinya ya\xe2\x80\xa6 https://t.co/EVwjIQiSrB'",0
b'@RPLWORLD Rep wkwkw gue lg perlu nmbah genre baru dlm dngerin musik',1
b'Balada tadi minum kopi 4 shots. Sekarang ga ngantuk dan bingung mo ngapain. Berakhir dengerin musik yang typically\xe2\x80\xa6 https://t.co/5usiol8EaO',
"b'Tadi muter lagu ini di murphys kemang, ada ababil nyamperin nanya genre musik ini apa. Dia suka banget. Gue kaget s\xe2\x80\xa6 https://t.co/jvOTTUhMXC'",
b'genre musik yang direkomendasikan berdasarkan jalan yang digunakan menuju daerah bubat selatan atau bandung timur\xe2\x80\xa6 https://t.co/diOD8VTrlU',
"b'@AREAJULID sblm kenal pribadi si cewe, dia udh ngejudge duluan berdasar genre musik yg dia suka, ga boleh kita judge balik??'",0
"b'Gue gak pernah sih fanatik sama satu genre musik, buat gue musik kalau bagus ya bagus aja. Gak peduli apapun genren\xe2\x80\xa6 https://t.co/pKwOGJI6UG'",1
b'Keren abisss. Sebelumnya ada ga sih jersey yang dipake untuk memperingati kelahiran sebuah genre musik?\xe2\x80\xa6 https://t.co/9RTHw9SGaF',1
b'20. Lebih suka Genre musik mu?\n\nBallad=Lagu sedih\xf0\x9f\x92\x97',
b'13. Aku suka semua genre musik dari lagu metal sampe lagu dangdut',1
"b'Walau sudah mendengarkan berbagai genre musik, metal tetap asik'",1
b'@bukanpais @cocobidh @zulfanmarzain_ Emg vivi suka genre musik apaaan?',
"b""Citypop\n\nSubset pop musik yg berawal dari tahun 70'an yg popularitasnya memuncak tahun 80'an ini, merupakan genre m\xe2\x80\xa6 https://t.co/4CAVGJj9bd""",
b'@aanikaputri genre musik tu seperti agama...\nga ada yang salah...',1
b'@sovqtal Saya suka dengerin semua genre musik \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1
b'banyak yang mengaku pencinta musik tapi anti ke satu genre.\n\nlawak',0
"b'Saya play musik punk bukan karna saya kotor, badboy, satanic, dsb. Tapi saya emang suka genre nya. Males aja denger\xe2\x80\xa6 https://t.co/qkVBrbgxZ1'",1
"b'Apa cuma gua yg follow danilla karena dia gokil, tapi musik nya bukan Genre gua bngt si.'",0
"b'aku suka mendengar musik apa saja, dr berbagai genre, generasi, musik indo ataupun barat. \nentah knp aku prefer sm\xe2\x80\xa6 https://t.co/YMTprdtr3C'",
"b'@peachphoriaa emang ya, kpop bukan genre musik di indonesia. kek lebih pemuja kaya gitu heran dah wkwk'",0
"b'b-sides mereka lebih gila lagi. ""forever"", ""going crazy"", ""gravity"" sama-sama musik elektro yang ga akan jadi seind\xe2\x80\xa6 https://t.co/NT8XR9eaJ5'",
"b'Upload dengan genre musik yang kalian suka juga boleh banget loh!\xc2\xa0\n\nNah, buruan yuk cek di sini\xe2\x80\xa6 https://t.co/YyHSMBcrHC'",
"b'Genre musik ini adalah\xc2\xa0rock. Grup musik ini merupakan asuhan dari\xc2\xa0Ahmad Dhani\xc2\xa0yang merupakan ayah dari Al, El dan D\xe2\x80\xa6 https://t.co/xy0ieXYsKW'",
"b'Saya tidak benci orang-orangnya tapi cuma kurang suka sama genre musiknya saja. Selera musik orang itu beda-beda, d\xe2\x80\xa6 https://t.co/IXd5HtBm7P'",0
b'berapa banyak musisi hijrah bukan meninggalkan musik tersebut melainkan beralih genre\nBerapa bnyak artis yg hijrah\xe2\x80\xa6 https://t.co/0f3ap4yxQ7',
b'Sepertinya saya harus mulai bisa menikmati genre musik ini \xf0\x9f\xa4\x94 https://t.co/a318fZuNcA',1
b'berkerja untuk MACUSA. \n\nSaya sempat bersekolah dasar di sekolah No-Maj selama enam tahun. Dan saya merupakan seora\xe2\x80\xa6 https://t.co/F0BO8qVXyl',
"b'Genre musik yang mereka bawakan adalah\xc2\xa0pop-dance.\n\nNama SM*SH yang merupakan singkatan dari ""Seven Man as Seven Her\xe2\x80\xa6 https://t.co/BcTMOeStcB'",
"b'karena setting sebelumnya di kualitas Normal dan antara ngantuk/otak kelelahan, rasanya kurang menemukan sesuatu ya\xe2\x80\xa6 https://t.co/9RXSGoMxc8'",
"b'itu kan bukan hand sign metal, itu hand sign FANCY nya Twice. Emang suka ngikutin nih genre musik laen. Sebel deh. https://t.co/MLRlOw3UGd'",0
"b'Disisi lainku, aku sangat gemar Olahraga sejak kecil, maka dari itu aku selalu bugar/?\nGemar sekali Olahraga outdoo\xe2\x80\xa6 https://t.co/scSx8BPdpb'",
"b'Kemarin untuk pertama kalinya #Sociomess tampil secara live sebagai  Cukup kaget juga, setelah gebrakan materi baru\xe2\x80\xa6 https://t.co/psQ02kEbsy'",1
"b'2016 kecemplung di genre musik K-pop, lagu group pertama yg lumayan hapal lagunya adalah Btob-Missing you, dan belu\xe2\x80\xa6 https://t.co/7GBSViDhBK'",
"b'Siapa sudi tolong dengar lagu ciptaan anak orang asli bersuku kaum semai Cuba kelainan Dari segi musik,genre jazz..\xe2\x80\xa6 https://t.co/obRLo5240E'",
"b'@lordkacchan nggak pernah masalahin orang pindah fandom, krn ya kalau dia udah nggak suka sama idol/grupnya/mau car\xe2\x80\xa6 https://t.co/WxurRuB72u'",
b'@4k943nuest Idol lain: ngejar pasar\nNuest :pasar yg ngejar mereka \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82dari face genre nya beda .dan warna musik mere\xe2\x80\xa6 https://t.co/61OARNZ5gC',
"b'@SoundOfYogi Tapi Kpop? Nah, KPop sendiri sebetulnya merupakan gabungan dari budaya musik boyband girlband tahun 90\xe2\x80\xa6 https://t.co/VqCpQXLFwo'",
"b'Kpop itu bukan orangnya yang ganteng-ganteng. Kpop adalah sebuah genre musik, korean pop. Dan itu masuk semua musik\xe2\x80\xa6 https://t.co/YcuhZj6TYb'",1
"b'BLUES, nama yg diberikan utk musik dan genre yg diciptakan dlm masyarakat Afrika-Amerika di Deep South akhir abad ke-19'",
b'[Fakta Ayen] Genre musik Ayen sukai Pop dan Rock (sama kayak gua)',
b'@AlterBaseRated bahas genre musik yang disuka yu?',
"b'@katadochi @igamassardi Kalo dikaitin sama musik, berarti masalah genre musik ya bang?'",
"b'@erichaatf Gak mesti sih, aku dulu di tanyain genre musik dan band favorit tapi masih tetep di rekrut'",
b'@AlterBaseRated Lebih suka genre musik apa?',
"b'Mood gue dari Municipal Waste ke Opeth abis itu Shakira terus Major Lazer, anjirrr gjls bgt emg playlist musik acak2an cross genre'",
b'Tembang pertama yang mengenalkan saya pada genre musik nan mengharu biru ini. https://t.co/TK3CG9pU5F',
"b'@drakjv ngakak anjer, yo alhamdulillah pindah haluan genre musik \xf0\x9f\x98\x82'",
b'Baru tau ada genre musik yang namanya city pop. Ena didenger pas lagi nyantai dikasur tengah malem\xf0\x9f\x95\xba\xf0\x9f\x8f\xbb',1
"b'@bers0rai indie it bkn aliran musik, kea penyanyi tanpa label, kalu folk it genre musik'",
"b'@helmifelis Kalau untuk tragedi Wamena,korban demo mahasiswa,gempa Ambon, 700 petugas kpps kemarin yg meninggal,,,m\xe2\x80\xa6 https://t.co/eRF1zH7H7t'",
"b'@Baesujiaa Suka jadi no, deng for turut meramaikan rp dr genre musik lain'",
b'Pada akhirnya mereka yg mengaku anak indie dan milenial akan rindu dengan genre musik yg membesarkan masa tumbuh ke\xe2\x80\xa6 https://t.co/Au5lp1Mvel',
"b'Gadis penyuka musik, makanan dan buku terutama novel. Dalam 1 minggu dia bisa menghabiskan 2 novel sekaligus, bahka\xe2\x80\xa6 https://t.co/EnxVZiRthO'",
"b'@WhySoSensi Klu untuk pembantaian di Wamena,gempa Ambon korban demo mahasiswa,,mereka bakal ngadain konser musik be\xe2\x80\xa6 https://t.co/DOpLbrENC1'",
"b'@edcfess Gue jelasinnya kmrn pokoknya ilmu itu punya banyak cabang salah satunya farmakologi, sama juga dengan musi\xe2\x80\xa6 https://t.co/4eC9gtdgGY'",
b'@edcfess Pop itu bagian dari genre musik.\nFarmakologi itu bagian dari cabang ilmu. Gitu kali.',
"b'@edcfess kalo aku sih pop salah satu genre dlm musik, farmakologi adalah ilmu ttg obat-obatan'",
b'@payjerk oalah ini search di gugel td malah genre musik gitu. makasihh',
"b'@fWBase penikmat film bnget, saya ngeband dari SMP jadi lmayan klau musik dkit2 dan pndengar segala genre, klau ani\xe2\x80\xa6 https://t.co/abg7yT3Ebg'",
"b'Synchronize Festival 2019\n.\nUdah hampir seminggu belum bisa move on ihiw !\nSeneng bgt sama festival musik kek gini,\xe2\x80\xa6 https://t.co/NtjEAyb5kl'",
b'@mireyeri udah malah genre musik wkwk',
b'#.jadi jamet itu teh genre musik?',
b'11. Aku suka musik genre hiphop\xf0\x9f\x91\x8c',
"b'Ya memang, @pledis_17 tu gapernah ganti genre musik, mereka ganti genre musik YANG DIJADIIN TITLE, dari jaman 17 ca\xe2\x80\xa6 https://t.co/pTlyJwvtup'",
"b'@tubirkorean Kembali lagi masalah selera, tapi aku di sini lebih mandang kalo kpop berkembang. Masa iya gen 3 sama\xe2\x80\xa6 https://t.co/vxmTYLarZZ'",1
"b'@rafurabbit Kalo w suka musiknya, kayak ada yg beda aja gitu sama genre musik lain'",1
"b'@agnezmo belajar dari penyanyi go internasional seperti ini... mereka ingin jadi diri sendiri, genre musik diri sen\xe2\x80\xa6 https://t.co/YgbFP10g1q'",1
"b'@mydayfess Mreka bermusik tuh bebas, mreka suka bereksperimen sama sgala jenis musik. Kayak sweet chaos ini mreka n\xe2\x80\xa6 https://t.co/mM3HqolJLX'",1
"b""Kalo grup uda pnya 'trademark sound' nya tu grup udah bisa ngambil porsi/niche orang yang suka dengan genre musikny\xe2\x80\xa6 https://t.co/0nJnkTvxrn""",0
"b'@wsthingy semuanya kecuali harry si, padahal harry bias gua wkwk tp yg emg gasama gt genre musik nya'",0
"b'Ini genre musik apa ya , enak bgt kalo siang2 https://t.co/AywkvzZHZf'",
b'@askmenfess Ini nih alasan dangdut jadi vibes nya negative\xf0\x9f\x98\x8c\nPadahal genre musik yang bagus',
